,value
n_total_trades,216.0
n_assessable_selected_horizon,195.0
n_censored_end_of_test,21.0
mean_model_probability_selected_horizon,0.7027302564102564
observed_convergence_rate,0.2564102564102564
observed_convergence_within_selected_horizon,0.2564102564102564
calibration_gap_observed_minus_model,-0.44632000000000005
mean_model_probability_max_horizon,0.8569251282051281
expiry_rate,0.7435897435897436
brier_score_selected_horizon,0.38989901702564106
mean_trade_return,0.06592825806745489
median_trade_return,-0.03240159958386617
total_realized_pnl,45360.48445173287
